message,label
I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,ham
Package all your programs well,ham
I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,ham
"Sorry, I can't help you on this.",ham
Even if he my friend he is a priest call him now,ham
Are u coming to the funeral home,ham
Still work going on:)it is very small house.,ham
I think it's all still in my car,ham
get ready to moan and scream :),ham
"Aight, can you text me the address?",ham
"A few people are at the game, I'm at the mall with iouri and kaila",ham
The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...,ham
Me fine..absolutly fine,ham
God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,ham
Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam
UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,spam
"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",ham
Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,ham
FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,spam
So u gonna get deus ex?,ham
Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,ham
ÌÏ come lt 25 n pass to me lar,ham
"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",ham
I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,ham
Did u fix the teeth?if not do it asap.ok take care.,ham
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",spam
Yeah I can still give you a ride,ham
You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,spam
I know complain num only..bettr directly go to bsnl offc nd apply for it..,ham
K.k.how is your business now?,ham
"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",spam
Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,spam
Wrong phone! This phone! I answer this one but assume the other is people i don't well,ham
they released another Italian one today and it has a cosign option,ham
"Sir, I need Velusamy sir's date of birth and company bank facilities details.",ham
My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),ham
Me too baby! I promise to treat you well! I bet you will take good care of me...,ham
Also remember the beads don't come off. Ever.,ham
